conglome,vivienda,hogar,codperso,ing_laboral,internet,uso_avanzado,joven,mujer
015072,065,11,05,8302,1,1,1,0
015072,081,11,01,7487,1,1,0,1
015072,098,11,01,4253,1,1,0,1
015072,098,11,02,2072,1,1,1,1
015073,015,11,02,4187,0,0,0,0
015073,130,11,01,11138,1,1,0,0
015074,004,11,01,3607,1,1,0,0
015074,018,11,01,26751,1,1,0,0
015074,018,11,02,50977,1,1,0,1
015074,018,11,03,42802,1,1,0,1
015074,059,11,01,11418,1,0,0,0
015074,059,11,03,1803,1,1,1,0
015074,088,11,01,4671,1,1,0,0
015074,088,11,02,1046,1,1,0,1
015075,046,11,02,7003,1,0,0,0
015076,102,11,03,20902,1,1,1,0
015076,129,11,01,7055,1,0,0,1
015076,142,11,05,1452,1,1,1,0
015076,153,11,03,847,1,1,1,0
015077,056,11,01,5154,1,1,0,1
015077,170,11,01,39315,1,1,0,1
015077,172,11,01,721,1,0,0,0
015078,038,11,01,3862,0,0,0,0
015078,047,11,01,22369,1,0,0,0
015078,047,11,02,4942,1,0,0,1
015078,047,11,03,7241,1,1,1,0
015079,057,11,01,7208,1,1,0,0
015079,058,11,03,16723,1,1,1,0
015079,058,11,04,6007,1,1,1,1
015079,130,11,01,721,1,1,1,0
015079,131,11,01,3244,1,1,0,1
015080,037,11,01,1446,1,0,0,0
015080,037,11,02,2881,1,0,0,1
015080,039,11,01,2892,0,0,0,0
015080,039,11,02,3253,0,0,0,0
015080,040,11,05,7334,1,1,1,0
015081,017,11,01,5391,1,1,1,0
015081,019,11,02,13777,1,1,1,0
015081,088,11,03,3632,1,1,1,0
015082,053,11,03,11809,1,1,1,1
015082,053,11,08,4715,1,0,1,1
015082,055,11,01,6025,1,0,0,0
015082,055,11,02,5763,1,0,0,1
015082,057,11,01,4217,1,1,0,0
015083,013,11,01,5330,1,1,0,1
015083,030,11,02,26590,1,1,0,1
015083,038,11,01,16080,1,0,0,0
015083,049,11,01,27129,1,1,0,1
015083,066,11,01,5708,0,0,0,0
015084,104,11,01,1928,0,0,0,1
015084,106,11,01,2169,1,1,0,0
015085,032,11,01,2397,1,0,0,1
015085,040,11,01,4555,1,1,0,0
015086,013,11,02,14028,1,1,1,0
015086,013,11,03,520,1,1,1,1
015086,034,11,01,11170,1,1,0,0
015086,034,11,02,9589,1,1,0,1
015087,094,11,01,4187,1,0,0,0
015088,012,11,01,5807,1,1,1,0
015089,029,11,01,8149,1,0,0,0
015089,077,11,01,2996,1,0,0,0
015089,077,11,02,14380,1,1,0,1
015089,088,11,01,14380,1,1,0,1
015089,137,11,01,8029,1,1,0,0
015089,137,11,02,14380,1,1,0,1
015090,029,11,01,1629,1,0,0,0
015090,031,11,02,1448,1,0,0,1
015090,031,11,03,9397,1,1,1,0
015090,031,11,04,7543,1,1,1,1
015090,032,11,01,3017,1,1,0,0
015090,077,11,01,6427,1,0,0,0
015090,083,11,03,5166,1,1,1,0
015090,085,11,01,4827,1,1,0,0
015091,072,11,02,2334,1,0,0,1
015091,150,11,01,4791,1,0,0,0
015091,150,11,02,4669,1,0,0,1
015093,042,11,02,10152,1,1,0,1
015093,067,11,02,13936,1,1,0,1
015093,104,11,01,14417,1,1,0,0
015093,129,11,02,18741,1,1,0,0
015094,014,11,01,9589,1,1,0,0
015094,015,11,02,10667,1,1,0,1
015094,016,11,02,10667,1,1,0,1
015094,016,11,03,8519,1,1,1,0
015094,017,11,02,5715,1,1,0,1
015094,017,11,04,7012,1,1,1,0
015094,040,11,03,13904,1,1,1,0
015094,040,11,04,11430,1,1,1,0
015094,040,11,05,6113,1,1,1,1
015095,028,11,03,7531,1,1,1,1
015095,028,11,05,4278,1,1,1,1
015095,052,11,01,29823,1,1,0,0
015095,052,11,02,12050,1,1,0,1
015095,064,11,02,29221,1,1,0,1
015095,077,11,01,24762,1,1,0,0
015095,077,11,02,29944,1,1,0,1
015095,101,11,01,2651,1,1,0,1
015095,113,11,01,16086,1,1,0,0
015096,026,11,03,4268,1,1,0,1
015096,088,11,03,6494,1,1,1,1
015097,061,11,01,19164,1,1,0,0
015097,062,11,03,719,1,1,1,0
015097,063,11,05,2852,1,0,0,0
015098,024,11,01,3893,1,0,0,0
015098,050,11,04,1078,1,0,1,0
015098,059,11,01,39286,1,1,0,0
015098,067,11,01,5706,1,0,0,0
015099,158,11,01,3856,1,0,0,0
015100,003,11,01,1207,1,0,0,0
015101,058,11,01,42590,1,1,0,0
015103,009,11,03,1446,1,1,1,0
015103,010,11,01,5763,1,1,1,0
015103,012,11,02,1834,1,0,0,1
015104,005,11,01,10947,1,1,0,1
015104,005,11,02,4786,1,1,0,0
015104,005,11,03,5324,1,1,1,1
015104,005,11,04,7179,1,1,1,0
015104,006,11,01,2871,1,1,0,1
015104,006,11,02,5324,1,1,1,0
015104,008,11,02,2871,1,1,0,1
015104,008,11,03,2154,1,1,1,0
015104,066,11,01,4786,1,0,0,0
015104,066,11,02,2572,1,1,0,1
015104,066,11,03,5324,1,1,1,0
015104,068,11,02,2572,1,1,0,1
015104,069,11,01,4187,1,0,0,0
015104,069,11,03,4487,1,1,1,0
015106,011,11,01,9930,1,0,0,0
015106,011,11,03,8315,1,1,1,0
015106,045,11,01,11127,1,0,0,0
015106,062,11,01,11605,1,0,0,0
015106,097,11,01,19143,1,1,0,1
015106,115,11,02,6401,1,0,0,0
015107,162,11,01,10768,1,1,0,0
015108,059,11,01,4552,1,0,0,0
015108,059,11,02,4552,1,0,0,1
015108,059,11,03,2575,1,1,1,1
015109,017,11,01,9074,1,1,0,0
015109,017,11,02,7865,1,1,1,0
015109,020,11,02,5384,1,1,0,1
015109,138,11,01,5445,1,1,0,0
015109,139,11,01,6291,1,1,1,0
015109,140,11,01,6473,1,1,1,0
015110,135,11,01,5166,1,0,0,1
015110,318,11,02,7509,1,1,1,1
015110,319,11,02,12855,1,1,0,1
015111,023,11,01,14003,1,1,0,0
015111,026,11,01,17278,1,1,0,0
015111,026,11,02,18058,1,1,1,0
015111,050,11,03,16018,1,1,1,1
015111,050,11,04,10891,1,1,1,0
015111,052,11,02,2280,1,0,1,0
015111,053,11,03,11150,1,1,0,0
015112,027,11,03,4313,1,1,0,0
015112,028,11,01,15035,1,1,0,0
015112,052,11,03,9324,1,0,0,0
015112,053,11,02,7005,1,1,0,0
015112,053,11,03,7005,1,1,0,0
015113,014,11,01,1798,1,1,0,1
015113,015,11,01,3236,1,0,0,1
015113,099,11,01,12825,1,1,1,0
015113,100,11,01,18184,1,1,1,0
015114,070,11,01,5505,1,1,1,0
015114,072,11,01,8385,1,1,1,0
015114,144,11,01,6291,1,1,0,0
015115,010,11,02,11263,1,1,0,1
015115,078,11,01,482,1,0,0,0
015116,064,11,01,7014,1,1,0,1
015116,160,11,01,7995,1,0,0,0
015116,160,11,03,7132,1,1,1,0
015116,165,11,01,9589,1,0,0,0
015116,165,11,03,9352,1,1,1,0
015118,002,11,01,2284,1,0,0,0
015118,042,11,01,2284,1,1,0,0
015118,042,11,02,12023,1,1,0,1
015118,044,11,01,3847,1,0,0,0
015118,045,11,01,11241,1,1,0,0
015118,046,11,01,4809,1,0,0,0
015119,066,11,03,19309,1,1,1,1
015119,090,11,01,17378,1,1,0,0
015119,095,11,01,12913,1,1,0,0
015121,042,11,03,2655,1,1,1,0
015121,042,11,05,10741,1,1,1,0
015121,043,11,01,5722,1,1,0,0
015121,118,11,01,11344,1,1,0,0
015122,016,11,01,3017,1,1,0,0
015122,016,11,05,1931,1,0,0,0
015122,082,11,01,3862,1,1,0,0
015122,083,11,02,13005,1,1,1,0
015122,085,11,01,10741,1,1,0,0
015122,087,11,01,3641,1,1,0,1
015123,005,11,02,7252,0,0,0,1
015123,007,11,03,11396,1,1,1,0
015124,054,11,01,10340,1,0,0,0
015124,054,11,02,5727,1,0,0,1
015124,055,11,02,14056,1,0,0,1
015124,055,11,03,5166,1,1,1,0
015124,055,11,04,12855,1,1,1,0
015124,058,11,01,8330,1,1,0,0
015124,059,11,01,3844,1,0,0,0
015124,060,11,01,14056,1,1,0,0
015124,060,11,03,10700,1,1,1,0
015124,060,11,07,16659,1,1,1,0
015126,005,11,01,5334,1,1,0,1
015127,013,11,01,16772,1,0,0,0
015127,105,11,01,2396,0,0,0,0
015127,106,11,01,8985,1,0,0,0
015128,003,11,02,10692,1,1,0,0
015128,131,11,01,7509,1,1,1,1
015128,133,11,01,11121,1,1,1,0
015128,133,11,02,23144,1,1,1,1
015128,134,11,01,7809,1,0,0,0
015128,135,11,02,6007,1,1,0,1
015129,065,11,01,27716,1,1,0,0
015129,067,11,01,8288,1,1,0,0
015129,067,11,02,3108,1,0,0,1
015129,222,11,01,5333,1,1,0,1
015129,223,11,01,23966,1,1,0,0
015129,223,11,02,5333,1,1,0,1
015130,009,11,01,21320,1,0,0,0
015130,118,11,01,9342,1,1,0,0
015130,118,11,02,4551,1,1,0,1
015130,118,11,03,9342,1,1,0,0
015130,123,11,03,2853,0,0,1,0
015131,052,11,01,9861,0,0,0,0
015131,059,11,02,5709,1,1,1,1
015132,101,11,01,3596,0,0,0,0
015132,102,11,01,5195,1,1,1,0
015133,009,11,01,2414,0,0,0,0
015133,094,11,01,9884,0,0,0,0
015134,035,11,02,19458,1,1,0,0
015134,125,11,01,5708,1,0,0,0
015134,126,11,01,5708,1,1,0,0
015136,083,11,01,14127,1,1,0,0
015136,083,11,03,7214,1,1,1,0
015136,084,11,02,21401,1,1,1,0
015136,086,11,01,10700,1,1,0,0
015136,086,11,02,9618,1,1,0,1
015137,025,11,01,1916,1,0,0,0
015137,025,11,03,8300,1,1,1,0
015137,028,11,01,3593,1,1,0,0
015137,080,11,01,21679,1,1,0,0
015137,080,11,02,22757,1,1,0,1
015138,006,11,01,5705,1,0,0,0
015138,051,11,01,10919,1,1,1,0
015138,064,11,01,43316,1,1,0,1
015138,064,11,02,42176,1,1,0,0
015138,078,11,01,4800,1,0,0,0
015138,078,11,03,5339,1,1,1,0
015138,078,11,04,8039,1,1,0,0
015138,085,11,02,11219,1,1,0,1
015139,287,11,01,12652,1,1,1,0
015140,061,11,01,4662,1,1,0,0
015140,061,11,02,7669,1,1,0,1
015140,061,11,03,2636,1,1,1,0
015140,062,11,01,4793,1,0,0,0
015140,063,11,01,13987,1,0,0,0
015140,063,11,03,10665,1,1,1,0
015140,064,11,01,6993,1,1,0,0
015140,064,11,03,10905,1,1,1,1
015140,144,11,01,9324,1,1,0,0
015140,150,11,01,25901,1,1,1,0
015141,023,11,01,5771,1,0,0,0
015141,024,11,01,3607,1,1,0,0
015141,138,11,01,6613,1,1,0,0
015141,139,11,01,3607,1,1,0,1
015141,140,11,01,1443,1,1,0,0
015141,141,11,02,6252,1,0,0,0
015142,027,11,01,2153,1,1,0,0
