conglome,vivienda,hogar,codperso,edad,ing_laboral,internet,uso_avanzado,horas_semanales,edad2,mujer
015093,129,11,02,48,18741,1,1,56,2304,0
015094,014,11,01,54,9589,1,1,52,2916,0
015094,015,11,02,51,10667,1,1,58,2601,1
015094,016,11,02,44,10667,1,1,54,1936,1
015094,016,11,03,20,8519,1,1,50,400,0
015094,017,11,02,58,5715,1,1,54,3364,1
015094,017,11,04,30,7012,1,1,56,900,0
015094,040,11,03,24,13904,1,1,50,576,0
015095,028,11,03,24,7531,1,1,72,576,1
015095,052,11,01,52,29823,1,1,66,2704,0
015095,052,11,02,60,12050,1,1,1,3600,1
015095,077,11,01,56,24762,1,1,41,3136,0
015095,101,11,01,40,2651,1,1,31,1600,1
015095,113,11,01,32,16086,1,1,45,1024,0
015096,026,11,03,34,4268,1,1,39,1156,1
015096,088,11,03,21,6494,1,1,16,441,1
015097,061,11,01,31,19164,1,1,55,961,0
015097,063,11,05,38,2852,1,0,31,1444,0
015098,024,11,01,68,3893,1,0,53,4624,0
015098,050,11,04,20,1078,1,0,16,400,0
015098,059,11,01,59,39286,1,1,45,3481,0
015098,067,11,01,56,5706,1,0,24,3136,0
015099,158,11,01,49,3856,1,0,56,2401,0
015100,003,11,01,72,1207,1,0,30,5184,0
015101,058,11,01,46,42590,1,1,46,2116,0
015103,009,11,03,24,1446,1,1,54,576,0
015103,010,11,01,26,5763,1,1,38,676,0
015103,012,11,02,41,1834,1,0,50,1681,1
015104,005,11,01,41,10947,1,1,46,1681,1
015104,005,11,02,56,4786,1,1,44,3136,0
015104,005,11,03,22,5324,1,1,36,484,1
015104,005,11,04,20,7179,1,1,36,400,0
015104,006,11,01,44,2871,1,1,84,1936,1
015104,006,11,02,26,5324,1,1,56,676,0
015104,008,11,02,34,2871,1,1,38,1156,1
015104,066,11,01,57,4786,1,0,54,3249,0
015104,066,11,02,57,2572,1,1,68,3249,1
015104,066,11,03,29,5324,1,1,48,841,0
015104,068,11,02,49,2572,1,1,52,2401,1
015104,069,11,01,55,4187,1,0,58,3025,0
015104,069,11,03,27,4487,1,1,48,729,0
015106,011,11,01,56,9930,1,0,56,3136,0
015106,011,11,03,22,8315,1,1,48,484,0
015106,045,11,01,47,11127,1,0,55,2209,0
015106,062,11,01,67,11605,1,0,54,4489,0
015106,097,11,01,50,19143,1,1,35,2500,1
015106,115,11,02,53,6401,1,0,91,2809,0
015107,162,11,01,57,10768,1,1,44,3249,0
015108,059,11,01,58,4552,1,0,62,3364,0
015108,059,11,02,61,4552,1,0,62,3721,1
015108,059,11,03,27,2575,1,1,62,729,1
015109,017,11,01,52,9074,1,1,56,2704,0
015109,020,11,02,56,5384,1,1,32,3136,1
015109,138,11,01,35,5445,1,1,48,1225,0
015109,139,11,01,26,6291,1,1,56,676,0
015109,140,11,01,30,6473,1,1,32,900,0
015110,135,11,01,47,5166,1,0,16,2209,1
015110,318,11,02,29,7509,1,1,45,841,1
015110,319,11,02,35,12855,1,1,61,1225,1
015111,023,11,01,50,14003,1,1,56,2500,0
015111,026,11,01,46,17278,1,1,48,2116,0
015111,026,11,02,21,18058,1,1,48,441,0
015111,050,11,03,25,16018,1,1,40,625,1
015111,052,11,02,20,2280,1,0,24,400,0
015111,053,11,03,32,11150,1,1,46,1024,0
015112,027,11,03,40,4313,1,1,40,1600,0
015112,028,11,01,57,15035,1,1,44,3249,0
015112,052,11,03,67,9324,1,0,61,4489,0
015112,053,11,02,41,7005,1,1,48,1681,0
015112,053,11,03,35,7005,1,1,48,1225,0
015113,014,11,01,61,1798,1,1,45,3721,1
015113,015,11,01,44,3236,1,0,82,1936,1
015113,099,11,01,30,12825,1,1,26,900,0
015113,100,11,01,22,18184,1,1,54,484,0
015114,070,11,01,26,5505,1,1,40,676,0
015114,072,11,01,28,8385,1,1,48,784,0
015114,144,11,01,41,6291,1,1,49,1681,0
015115,010,11,02,35,11263,1,1,67,1225,1
015115,078,11,01,70,482,1,0,58,4900,0
015116,064,11,01,38,7014,1,1,24,1444,1
015116,160,11,01,61,7995,1,0,63,3721,0
015116,160,11,03,28,7132,1,1,48,784,0
015116,165,11,01,51,9589,1,0,46,2601,0
015118,002,11,01,46,2284,1,0,48,2116,0
015118,042,11,01,49,2284,1,1,55,2401,0
015118,042,11,02,49,12023,1,1,48,2401,1
015118,044,11,01,54,3847,1,0,52,2916,0
015118,045,11,01,46,11241,1,1,55,2116,0
015118,046,11,01,47,4809,1,0,52,2209,0
015119,066,11,03,28,19309,1,1,47,784,1
015119,090,11,01,34,17378,1,1,53,1156,0
015119,095,11,01,39,12913,1,1,51,1521,0
015121,042,11,03,25,2655,1,1,48,625,0
015121,043,11,01,46,5722,1,1,24,2116,0
015121,118,11,01,46,11344,1,1,30,2116,0
015122,016,11,01,46,3017,1,1,56,2116,0
015122,016,11,05,52,1931,1,0,48,2704,0
015122,082,11,01,49,3862,1,1,49,2401,0
015122,083,11,02,22,13005,1,1,24,484,0
015122,085,11,01,31,10741,1,1,70,961,0
015122,087,11,01,39,3641,1,1,16,1521,1
015123,005,11,02,40,7252,0,0,53,1600,1
015123,007,11,03,27,11396,1,1,37,729,0
015124,054,11,01,42,10340,1,0,48,1764,0
015124,054,11,02,32,5727,1,0,28,1024,1
015124,055,11,02,58,14056,1,0,69,3364,1
015124,058,11,01,33,8330,1,1,37,1089,0
015124,059,11,01,50,3844,1,0,48,2500,0
015124,060,11,01,40,14056,1,1,40,1600,0
015124,060,11,03,20,10700,1,1,48,400,0
015124,060,11,07,27,16659,1,1,40,729,0
015126,005,11,01,56,5334,1,1,76,3136,1
015127,013,11,01,42,16772,1,0,48,1764,0
015127,105,11,01,41,2396,0,0,46,1681,0
015127,106,11,01,36,8985,1,0,48,1296,0
015128,003,11,02,38,10692,1,1,48,1444,0
015128,131,11,01,24,7509,1,1,20,576,1
015128,133,11,01,29,11121,1,1,40,841,0
015128,133,11,02,30,23144,1,1,60,900,1
015128,134,11,01,52,7809,1,0,59,2704,0
015128,135,11,02,45,6007,1,1,70,2025,1
015129,065,11,01,51,27716,1,1,48,2601,0
015129,067,11,01,43,8288,1,1,39,1849,0
015129,067,11,02,57,3108,1,0,31,3249,1
015129,222,11,01,35,5333,1,1,44,1225,1
015129,223,11,01,50,23966,1,1,112,2500,0
015129,223,11,02,49,5333,1,1,102,2401,1
015130,009,11,01,38,21320,1,0,56,1444,0
015130,118,11,01,44,9342,1,1,57,1936,0
015130,118,11,02,51,4551,1,1,103,2601,1
015130,118,11,03,31,9342,1,1,48,961,0
015130,123,11,03,30,2853,0,0,58,900,0
015131,052,11,01,51,9861,0,0,49,2601,0
015131,059,11,02,27,5709,1,1,44,729,1
015132,101,11,01,36,3596,0,0,65,1296,0
015132,102,11,01,29,5195,1,1,16,841,0
015133,009,11,01,57,2414,0,0,44,3249,0
015133,094,11,01,34,9884,0,0,48,1156,0
015134,035,11,02,46,19458,1,1,49,2116,0
015134,125,11,01,40,5708,1,0,27,1600,0
015134,126,11,01,43,5708,1,1,36,1849,0
015136,083,11,01,47,14127,1,1,76,2209,0
015136,083,11,03,22,7214,1,1,36,484,0
015136,084,11,02,23,21401,1,1,24,529,0
015136,086,11,01,35,10700,1,1,54,1225,0
015136,086,11,02,36,9618,1,1,66,1296,1
015137,025,11,01,66,1916,1,0,48,4356,0
015137,025,11,03,21,8300,1,1,48,441,0
015137,028,11,01,45,3593,1,1,53,2025,0
015137,080,11,01,44,21679,1,1,40,1936,0
015137,080,11,02,44,22757,1,1,46,1936,1
015138,006,11,01,48,5705,1,0,56,2304,0
015138,051,11,01,27,10919,1,1,48,729,0
015138,078,11,01,58,4800,1,0,33,3364,0
015138,078,11,03,29,5339,1,1,38,841,0
015138,078,11,04,33,8039,1,1,29,1089,0
015138,085,11,02,37,11219,1,1,40,1369,1
015139,287,11,01,23,12652,1,1,54,529,0
015140,061,11,01,52,4662,1,1,44,2704,0
015140,061,11,02,49,7669,1,1,50,2401,1
015140,062,11,01,50,4793,1,0,14,2500,0
015140,063,11,01,57,13987,1,0,42,3249,0
015140,063,11,03,23,10665,1,1,70,529,0
015140,064,11,01,48,6993,1,1,21,2304,0
015140,064,11,03,22,10905,1,1,45,484,1
015140,144,11,01,41,9324,1,1,38,1681,0
015140,150,11,01,29,25901,1,1,45,841,0
015141,023,11,01,60,5771,1,0,66,3600,0
015141,024,11,01,39,3607,1,1,51,1521,0
015141,138,11,01,40,6613,1,1,60,1600,0
015141,139,11,01,38,3607,1,1,60,1444,1
015141,140,11,01,43,1443,1,1,51,1849,0
015141,141,11,02,62,6252,1,0,58,3844,0
015142,027,11,01,56,2153,1,1,61,3136,0
015142,162,11,01,44,6700,1,1,40,1936,0
015143,010,11,01,56,7190,0,0,56,3136,0
015143,011,11,01,55,5752,1,0,55,3025,1
015143,063,11,01,51,6993,1,0,48,2601,0
015143,063,11,02,22,2849,1,1,14,484,0
015143,065,11,01,43,4314,1,1,51,1849,0
015143,065,11,03,20,16577,1,1,32,400,0
015144,012,11,01,59,4840,1,0,54,3481,0
015144,054,11,01,68,726,0,0,58,4624,0
015145,039,11,01,33,7451,1,1,64,1089,0
